EmployeeID,Name,Department,Salary
1,Nathan Ettinger,CSR,115133
2,Anne Fischer,CSM,55734
3,Robert Malek,CIO,80220
4,Alma Ramsey,Network Admin,121600
5,Mildred Griffin,Procurement Manager,74200
6,Hugh Sparks,DBA,144910
7,Treva Estrada,CPO,11360
8,Sharon Hooks,VP of Sales,148290
9,Beth Hart,HRD,58170
10,Terri Mclemore,SDR,11822
11,Teri Xiong,PMO,75583
12,William Mcmillan,SEO,88606
13,Manuel Best,HRD,56673
14,Donte Althouse,CTO,13043
15,Stanley Bankston,Security Analyst,77252
16,Rosemary Maynard,UX/UI,138688
17,Carmelo Hayes,QA,134645
18,Robert Ball,DevOps,26550
19,Ellen Ramirez,Product Analyst,50791
20,Megan Terry,HRBP,92277
21,Kevin Farrell,IP,25153
22,Michael Gilman,CSR,128040
23,Albert Anderson,CSM,12149
24,Carla Gonzales,Product Analyst,106899
25,Josephine Herreras,Security Analyst,85446
26,Mabel Willey,UX Designer,129040
27,Adrian Vanderploeg,CTO,86758
28,Robert Horton,UX Designer,94761
29,Jeff Bishop,Dev,24628
30,Scott Arkell,Procurement Manager,40079
31,Marilyn Enos,SEO,113604
32,Anna Fontenot,Procurement Manager,89894
33,Isaac Shankle,Help Desk,103675
34,Julius Chan,COO,11182
35,George Emery,Ops Manager,66491
36,William Daniels,UX/UI,100579
37,Walter Bush,SDR,116347
38,Lena Notter,PM,147834
39,Victoria Kennamore,BDM,141429
40,Shelly Hill,Security Analyst,79425
41,Patricia Kubiak,Cloud Engineer,28231
42,Sallie Lesser,DBA,29469
43,Bonnie Chaney,ITSM,51783
44,Lisa Norberg,SEO,26447
45,Rene Phillips,CIO,94859
46,Kevin Hale,QA,36136
47,Kevin Reece,DevOps,141969
48,Lance Cioffi,SMM,37704
49,Chasity Lambert,Product Analyst,91695
50,Michael Kilpatrick,Data Analyst,64242
51,Raymond Bulow,GC,34067
52,Jake Mayo,UX/UI,105565
53,James Jaggers,AP/AR,149678
54,Leon Simmons,PMO,37786
55,Steven Steese,Product Analyst,85991
56,Gabriel Wagner,CIO,62087
57,Carlos Rocha,IP,86961
58,Kathryn Mckissick,Help Desk,51747
59,Dana Campbell,AP/AR,102873
60,Ida Makin,Procurement Manager,101657
61,Grace Broussard,SysAdmin,25423
62,Marion Edington,PPC,21972
63,Anthony Flynn,Security Analyst,45096
64,Billy Mcconnell,PM,67244
65,Thelma Dominguez,PM,19473
66,Joseph Doty,COO,58735
67,Stacey Smith,PPC,42044
68,Margaret Fields,HRM,37911
69,Robert Williamston,ACC,120187
70,Virginia Herrera,PPC,12831
