EmployeeID,Name,Department,Salary
2971,Kevin Roberts,UX Designer,15567
4901,James Reno,ACC,34612
3936,Gerald Rubert,SDR,58939
1849,Carolyn Bailey,HRBP,91170
87,Jana Huber,HRGA,59778
6,Janice Klitz,CPO,125131
1846,Jennifer Beasley,GC,51413
3867,Ada Elliott,HRBP,81894
3389,Stacy Gibbons,HRGA,112785
1385,Mary Grey,UX/UI,34833
3632,Billy Vargas,SEO,114790
4422,Doris Williams,PMO,87454
1366,Bobbi Hansen,Ops Manager,31495
4828,Amanda Wingard,SysAdmin,138023
332,Odessa Mcgrath,Support Engineer,33315
1103,Betty Shields,PPC,22729
4166,Christa Clinard,PM,14993
58,Jill Goodwin,BDM,144522
3642,Kenneth Cole,DevOps,31859
1151,Mary Luby,HRBP,33629
3426,Cynthia Talmadge,PM,129787
2399,David Deere,Data Analyst,132232
251,Robert Bowman,Help Desk,60549
1166,Helen Watson,PPC,12666
1744,Jeffrey Coleman,Product Analyst,62160
686,Mario Gray,Data Scientist,41227
3275,Clifford Beery,Data Scientist,133796
1914,James Lewis,GC,113457
4481,Gregory Stonis,HRGA,140802
678,Marie Dunson,PMO,33289
177,Christina Smith,ACC,80421
4999,Hilda Anderson,GC,89887
612,Valarie Copley,COO,65475
4346,Steven Lorenz,DevOps,66718
3885,Carol Bowen,Corp Counsel,97251
2884,Victor Thompson,HRM,130491
2047,Dawn Taylor,Ops Manager,72371
3891,Rhonda Brereton,HRGA,55270
4135,Fred Wilson,CMO,113583
4338,William Blackburn,PPC,49968
1461,James Hill,Data Analyst,139614
2154,Sylvia Harris,AGC,60797
1706,Mark Parsley,Cloud Engineer,12030
3122,Ronald Miranda,Support Engineer,103608
361,Josephine Acres,Cloud Engineer,96267
2323,John Caudill,DBA,48596
1455,Jannette Spueler,FA,100689
1242,Tracy Francis,Corp Counsel,53455
3706,Phyllis Navarro,AP/AR,88989
2879,Nancy Cavalero,COO,27133
543,Debra Sulley,PM,126046
233,Amal Finnemore,Data Scientist,72099
362,David Harrison,DevOps,81167
208,Lillian Johnson,PPC,129837
3106,Patrick Wilson,DevOps,86382
3690,Amber Spring,HRBP,137340
968,Brenda Battle,DevOps,99631
1311,Kimberly Johnson,AE,29507
1565,Jose Weir,CFO,81379
1853,Samuel Alexander,CMO,50197
4978,Mildred Hebert,Network Admin,60934
2605,David Barber,PM,26234
4348,Mary Malik,CSM,88258
4614,Jasper Berry,Supply Chain Analyst,79501
456,Gary Wright,Security Analyst,131640
1335,William Mcdonald,Security Analyst,133147
1877,Ramona Vroman,PMO,12501
3822,Beth Campbell,COO,23381
846,Deborah Nguyen,CIO,146595
4090,Leslie Murat,AGC,23827
39,Mary Freitas,Data Analyst,78887
1030,Michael Ulibarri,PMO,32109
4960,Chris Burgos,HRD,146756
2361,Wanda David,FA,72933
2486,Christie Bussell,CMO,68961
73,Loria Gomez,Network Admin,105562
3610,Enid Colon,AP/AR,110486
3128,Josephine Cardenas,CSR,28716
979,Viola Larson,PPC,56131
2233,Wanita Arrington,GC,113523
3267,James Shepherd,BDM,77329
4989,Mary Chavez,GC,54742
2237,Irene Swartz,DevOps,70895
64,James Troutman,Cloud Engineer,148067
1116,Alene Jenkins,PM,139640
541,Lee Jensen,Data Scientist,99907
1504,Priscilla Dixon,HRBP,17477
2712,Harry Hackleman,HRGA,137245
1157,Darnell Ramirez,Data Analyst,82348
793,David Miller,Procurement Manager,56346
3917,Clarice Rojas,SMM,104326
4138,Bernard Rios,CSR,111058
2363,Nicholas Haselton,Ops Manager,57251
3573,Lucille Hinojosa,HRD,143271
988,Vilma Lynch,PM,82725
3056,Sonya Opal,BDM,98769
3469,Connie Berry,PM,124816
41,Harold Mcateer,CSR,22401
4104,Holly Walker,AGC,127002
1884,Anthony Cherry,AE,72748
4982,Liza Porter,ITSM,100063
3621,David Chambers,Data Analyst,141627
94,Jason Durbin,ACC,33048
2065,Melany Walker,SEO,69476
3195,Richard Tucker,SysAdmin,64224
3035,Christiane Merritt,HRBP,102655
336,Samuel Lewis,Help Desk,36773
3986,Pamela Jackson,PPC,22347
1839,Christopher Morgan,BDM,82280
4314,Lisa Lovely,FP&A,120521
