EmployeeID,Name,Department,Salary
1,John Jennins,GC,89801
2,Lloyd Brook,AGC,87803
3,Dorothy Grunden,SysAdmin,64485
4,Emmett Ray,ACC,12317
5,Michael Graves,Network Admin,44530
6,Peggy Williams,HRD,41370
7,Tina Lozano,PMO,46870
8,Barbara Allen,Supply Chain Analyst,84701
9,Howard Miller,HRM,31032
10,Robert Mcnair,CPO,127323
11,Leon Dumont,SMM,131681
12,Jack Kimple,Product Analyst,10783
13,Esther Reed,PM,89852
14,Robert Johnson,QA,20266
15,Natalie Smith,SEO,127742
16,Darlene Donahue,AP/AR,53275
17,James Lowe,DevOps,141550
18,David Vanwingerden,Support Engineer,93209
19,James Melvin,HRD,16371
20,Tony Ruffin,PM,12095
21,Harold Carroll,DevOps,109083
22,Mark Nunley,ACC,144540
23,Violet Fagan,GC,77682
24,Steve Nelson,Help Desk,44065
25,Elaine Paulk,Supply Chain Analyst,93191
26,Gayle Tracy,Cloud Engineer,77749
27,Mario Rodrigue,AP/AR,17266
28,Mary Mcmanus,Procurement Manager,106729
29,Gerald Walls,HRBP,86556
30,Antoinette Marquez,IP,13212
31,Bruce Mayo,COO,83186
32,Margie Mink,ACC,35637
33,Manuel Newsom,CSR,133442
34,Charlie Harris,DBA,119179
35,Diana Gonzalis,UX Designer,70899
36,Bryan Jarman,UX Designer,105997
37,Edna Triche,QA,89748
38,Modesta Carter,Product Analyst,96131
39,Julie Johnson,Dev,111935
40,Russell Rankins,IP,149359
41,Erma Collins,SDR,15448
42,Joanne Evitt,HRM,109759
43,Adrian Lee,AP/AR,76265
44,Philip Knowles,CSM,135769
45,Norma Protain,SysAdmin,123754
46,Elizabeth Davis,CMO,74536
47,Jane Moldrem,DevOps,41516
48,Steven Grissom,PMO,127117
49,Sarah Kern,Security Analyst,23005
50,Monica Newman,Supply Chain Analyst,20071
51,Peter Lewis,BDM,95429
52,John Bell,PM,126327
53,Brian Gonzales,Data Analyst,34597
54,Linda Hay,CSR,68327
55,Mary Goyco,HRD,92753
56,Jean Sircy,AP/AR,106634
57,Lai Hodges,SMM,87798
58,Pedro Domingo,QA,125653
59,Patricia Withrow,PMO,19395
60,Barbara Hill,CPO,64550
61,Adam Guido,SMM,93267
62,Nathan Barraza,CTO,63458
63,April Ness,AP/AR,33410
64,Betty Macias,Data Analyst,56202
65,Fred Wigley,AP/AR,65530
66,Margaret Rowell,PMO,74726
67,Refugio Hirkaler,PM,28819
68,Blake Franklin,HRM,148497
69,Era Nutt,PPC,143793
