EmployeeID,Name,Department,Salary
1,Travis Moody,SysAdmin,95246
2,Dana Kelker,Corp Counsel,83595
3,Heriberto Cradduck,Dev,112047
4,Wyatt Spearman,Ops Manager,58571
5,Jennifer Melara,Data Analyst,26702
6,Janice Klitz,CPO,125131
7,Ernestina Anderson,Security Analyst,110354
8,Ursula Morgan,IP,109991
9,Henry Tucker,PM,19519
10,Amos Miller,AP/AR,16917
11,Carey Bass,CTO,146964
12,Arthur Blenden,UX Designer,10858
13,Regina Gary,UX Designer,76489
14,Tamika Tylman,PMO,75848
15,Antonio Roberts,Data Scientist,24984
16,Victoria Clare,FP&A,58927
17,Hugo Yenz,Supply Chain Analyst,12130
18,Belinda Wright,FA,147032
19,Joey Salters,SMM,61927
20,Bethany Harms,COO,20036
21,Daniel Hamm,SysAdmin,144083
22,Maureen Brown,Data Analyst,102831
23,Ana Husk,AE,133418
24,Jerry Goss,Network Admin,89992
25,Kelly Rosso,CSR,107675
26,James Young,ACC,113916
27,James Lee,Help Desk,65250
28,Melody Socia,ACC,121402
29,Betty King,Supply Chain Analyst,56634
30,Celia Skousen,VP of Sales,139690
31,Joe Reese,Dev,49584
32,Terrence Simons,HRM,90619
33,Amanda Crider,QA,87909
34,Violet Grindle,Data Analyst,112008
35,Peggy Mcwilliams,SMM,65474
36,Miguel Mcgrath,PPC,83819
37,Wilton Steele,Ops Manager,83093
38,Charles Lizotte,AGC,97565
39,Mary Freitas,Data Analyst,78887
40,Sylvia Twitchell,Cloud Engineer,51866
41,Harold Mcateer,CSR,22401
42,Robyn Shoop,FP&A,59951
43,Brian Kirby,Cloud Engineer,15723
44,Debbie Abu,VP of Sales,75455
45,Hannah Bauer,CSM,72406
46,Doris Allen,CIO,18553
47,Terry Keating,FA,18891
48,Polly Talerico,Help Desk,105722
49,Laura Janecka,Data Scientist,95428
50,Anthony Stephens,DBA,106569
51,Alfred Hampton,SEO,84908
52,Dalia Tinkler,Support Engineer,41366
53,Juanita Hammel,HRD,144931
54,Mirta Risenhoover,Supply Chain Analyst,99060
55,Elizabeth Niedringhaus,CMO,48578
56,Pedro Jimenez,SEO,87105
57,Yoshiko Talton,Ops Manager,91180
58,Jill Goodwin,BDM,144522
59,Jerry Jennings,Data Scientist,94881
60,Ann Andrews,GC,70388
61,William Joseph,Cloud Engineer,30904
62,William Becton,AGC,37618
63,Julie Givens,COO,39362
64,James Troutman,Cloud Engineer,148067
65,Francis Matthews,CSM,141317
66,Dawn Nelson,Corp Counsel,82640
67,Mary Stitt,CFO,77490
68,Robin Healy,CPO,121231
69,Anna Beaucage,Procurement Manager,86992
70,Rita Jones,CIO,26617
71,Leland Wright,CIO,78598
72,Tracy Kuykendall,CTO,28965
73,Loria Gomez,Network Admin,105562
74,Dale Powell,SysAdmin,88528
75,Charles Rector,Help Desk,87625
76,Gregory Starks,SMM,58545
77,Philip Drake,ACC,73777
78,Christopher Butler,DBA,39890
79,Shanna Finney,CSM,83724
80,Clifton Wright,GC,134081
81,Louis Beaudoin,PPC,118026
82,Jose Cutchall,UX/UI,106283
83,Terry Valdez,Network Admin,102850
84,Alfreda Smith,FP&A,123130
85,Kevin Honaker,Cloud Engineer,95592
86,James Gillette,SEO,98836
87,Jana Huber,HRGA,59778
