EmployeeID,Name,Department,Salary
1,Gloria Woolsey,PM,121937
2,William Hefner,Data Analyst,15726
3,Emily Bean,QA,30002
4,William Parks,SEO,76019
5,Karen Rich,DevOps,118379
6,Craig Mckay,GC,51001
7,Andre Moore,FA,105830
8,Alex Morgan,Help Desk,55603
9,Debora Ryan,PM,83470
10,Ann Weafer,SDR,66544
11,Eugene Carter,PPC,62265
12,Douglas Ramirez,SysAdmin,122438
13,Pam Rizvi,Ops Manager,32623
14,Frances Sallas,Supply Chain Analyst,90794
15,Troy Kozma,FA,76849
16,Mary Burrell,PMO,33045
17,Catherine Westerman,CTO,100002
18,Charles Grothe,Security Analyst,63976
19,Wanda Fox,PM,13042
20,Lauren Welchel,SMM,75649
21,Daniel Woolfolk,CSR,23249
22,Janice Collins,AGC,122260
23,Whitney Lopez,UX Designer,111985
24,Heather Hopper,PM,11508
25,Jerry Thresher,UX Designer,88864
26,Lois Naquin,Data Scientist,38330
27,Brian Brooks,CTO,101333
28,John Dahlheimer,Procurement Manager,27548
29,Ana Traylor,Security Analyst,86403
30,Charles Lopez,HRGA,34679
31,Terry Michael,Network Admin,131087
32,Aimee Fowler,HRGA,79863
33,Fred Rezac,AE,60838
34,Edna Johnston,GC,132138
35,Deanna Cook,DBA,120074
36,Kenneth Mccarthy,SMM,122664
37,Evelyn Hardwick,CPO,144210
38,Jessica Howard,BDM,128019
39,Elizabeth Younts,Data Analyst,39531
40,Richard Leab,Supply Chain Analyst,108855
41,Donald Bond,Corp Counsel,37838
42,Carrie Castro,AGC,135467
43,Ella Ratliff,Supply Chain Analyst,52309
44,Amber Abner,Data Analyst,47933
45,Serena Ruiz,CSR,83132
46,Roy Yale,PMO,28798
47,Willie Webb,Data Analyst,102815
48,Lola Houston,FA,130409
49,Mary Bowers,UX Designer,137149
50,Michaela Allen,ITSM,144687
51,Frank Scharfenberg,Support Engineer,72863
52,Debbie Clark,Procurement Manager,25775
53,Hubert Gooch,Cloud Engineer,97454
54,Michael Diep,Data Analyst,69717
55,Donald Hernandez,CIO,74568
56,David Starks,CSM,116134
57,Mary Witt,CMO,32385
58,Charles Malley,DevOps,45369
