EmployeeID,Name,Department,Salary
1,Lawanda Baxley,HRD,129817
2,Kenneth King,Data Scientist,23040
3,Dwight Zamora,PM,111313
4,Jonathan Sisk,FP&A,81500
5,Debra Labbie,Data Scientist,119209
6,Carolyn Boutte,CSR,21125
7,Warren Hassan,ACC,98419
8,Brian Mix,ACC,38430
9,Peter Toney,CMO,128514
10,Patsy Torres,CIO,16620
11,Alvin Claunch,UX/UI,90892
12,Glenn Behring,GC,111752
13,Reginald Lewis,Product Analyst,133378
14,Michael Roberts,CMO,15550
15,Harry Johnson,ITSM,117418
16,Eleanor Starr,GC,44019
17,Betty Drane,Data Analyst,124198
18,Anna Hill,SysAdmin,46528
19,Kirsten Woode,Help Desk,143458
20,Laura Walker,UX/UI,53567
21,James Lefevre,DevOps,12184
22,Maxima Monroe,SMM,40573
23,Rick Rosa,ACC,18412
24,Brenda Crisp,HRBP,137987
25,Patricia Vargas,Network Admin,55971
26,Raul Koslosky,UX/UI,140533
27,Alicia Gonzalez,FP&A,72289
28,Michael Williamson,CSR,114233
29,Albert Reinoso,Help Desk,138698
30,Robert Louque,SysAdmin,25995
31,Michael Molina,CPO,48034
32,Donna Rinaldi,Network Admin,122793
33,Lawrence Coyle,Data Scientist,82101
34,Charles Crews,CMO,51908
35,Jessica Lopez,SEO,47156
36,Brenda Davis,CFO,109328
37,Elizabeth Garcia,FP&A,87077
38,Ruben Lee,UX Designer,17529
39,Henry Manalili,CTO,109241
40,Joseph Rich,PPC,124879
41,Albert Kim,GC,92282
42,Shelley Smith,Supply Chain Analyst,78422
43,Donald Fulcher,CTO,140087
44,Lorraine Patel,IP,25768
45,Neal Hughes,QA,143466
46,Lynn Darling,Supply Chain Analyst,61397
47,Candace Ritchie,CSR,124798
48,John Stevenson,DevOps,42993
49,Donald Gaines,Ops Manager,15022
50,Matthew Pickle,CSR,87863
51,James Neill,SEO,124516
52,Charles Franks,BDM,27949
53,Christopher Radin,FA,12529
54,Gary Linahan,FA,117354
55,Daniel Delucia,PM,126120
56,Andrew Wallace,SysAdmin,122244
57,Jacqueline Lakey,PM,97750
58,Clinton Murray,QA,37562
59,Leo David,PM,113867
60,Catherine Wood,GC,74666
61,Peter Smith,SMM,92629
62,Dorothy Adams,UX/UI,46045
63,Damion Goldberg,Dev,128797
64,Alex Shull,Corp Counsel,26998
65,Cecilia Stjohn,CMO,141610
66,Roger Shelby,BDM,44309
67,Monroe Hinds,Data Scientist,26692
68,Pat Daum,Data Analyst,12517
69,Amanda Obrien,BDM,54258
70,Edward Chernosky,IP,55786
71,Leona Campanelli,CFO,103334
72,David Moreau,AGC,20208
73,Genevieve Vasquez,Network Admin,119778
74,Robert Hopson,SDR,91020
75,Thelma Vann,FA,55323
76,David Hudson,Help Desk,70727
77,Marla Dehoyos,PMO,95473
78,Katherine Parker,DevOps,38639
79,Eleanor Dyer,CTO,29783
80,Kory Mcgrew,CSM,22332
81,Tracy Felderman,DBA,89429
82,Wayne Quick,SEO,49369
83,Forrest Moody,HRBP,124883
84,Donald Williams,UX/UI,33346
85,William Dierks,Network Admin,83693
86,James Robertson,CTO,131999
87,Crystal Blakely,IP,75720
88,Richard Mazor,Data Scientist,69376
89,Opal Garcia,DevOps,76475
90,Gladys Meder,AE,29426
91,Laura Johnson,VP of Sales,15340
92,Sara Wise,GC,16877
93,Jann Tomlinson,GC,128567
94,Rose Harris,PPC,46830
95,James Hadaway,SEO,85309
96,Lanny Walton,ACC,114684
97,David Hendley,HRM,113727
98,Elba Cannon,CFO,14484
99,Tanya Bowie,CMO,74048
100,Debra Foster,Data Scientist,123655
101,Florence Loredo,AGC,106267
102,Terry Bowden,HRD,82116
103,Linda Rivero,VP of Sales,17786
104,Danny Richter,SMM,93514
105,Angela Smith,Support Engineer,123799
106,Daniel Randolph,BDM,92079
107,Ashli Ohara,PPC,81294
108,Delores Chatman,HRM,56216
109,Jesse Sahota,CSM,43565
110,Jimmie Vanegas,VP of Sales,56977
111,Glenn Munoz,ITSM,46133
112,Juan Elamin,HRM,89799
113,Billie Ravenell,Network Admin,149555
114,Virginia Medders,CPO,22198
115,Theodore Kerr,CTO,45778
116,Charles Dilley,SDR,133490
117,Elsie Weiser,PM,149112
118,Joe Padilla,AP/AR,41884
119,Patricia Hernandez,Network Admin,39944
120,Victor Edwards,Support Engineer,55683
121,Gail Payne,Cloud Engineer,72209
122,Virgie Phillips,PM,86293
123,Charles Bloom,Cloud Engineer,34270
124,Phyllis Jones,Corp Counsel,64871
125,Elizabeth Gleason,QA,34252
126,Inez Juarez,SysAdmin,49515
127,Lori Moore,Data Scientist,60743
128,Amber Neill,AP/AR,19872
129,Harold Phillips,HRM,10166
130,Clyde Wheeler,ITSM,135203
131,John Smith,CSM,56449
132,Danial Quintero,SMM,97522
133,Hilary Williams,HRBP,147999
134,Eloise Hoage,Corp Counsel,28975
135,Mary Ford,SDR,82990
136,Michelle Hughes,ITSM,85577
137,Patricia Adams,Corp Counsel,109923
138,Ella Gomez,ITSM,79299
139,Zachary Hodges,Corp Counsel,109316
140,Ingrid Graf,COO,28822
141,Melanie Longway,CFO,50920
142,Ulysses Cornelison,FP&A,107599
143,Thomas Taylor,UX/UI,109586
144,Joe Stone,Procurement Manager,61446
145,Matthew Robinson,BDM,132013
146,Michelle Williams,SDR,39704
147,Donald Ruark,SysAdmin,83572
148,George Davis,SMM,51284
149,Gale Roman,Supply Chain Analyst,82670
150,Gary Held,DevOps,22985
151,Earl Johnson,Supply Chain Analyst,96748
152,James Haskins,SMM,40188
153,Edgar Bell,SysAdmin,129381
154,Rosa Olvera,COO,65938
155,Robert Adams,CFO,44812
156,Ronald Soares,ITSM,38415
157,Pamela Mcgillicuddy,PMO,139453
158,Paul Manning,UX Designer,21951
